country_id,region_code,region_name,name,postcode
CZ,CZ-JK,"Jihocesky kraj",Bavorov,
CZ,CZ-JK,"Jihocesky kraj",Bechyne,
CZ,CZ-JK,"Jihocesky kraj","Benesov nad Cernou",
CZ,CZ-JK,"Jihocesky kraj",Bernartice,
CZ,CZ-JK,"Jihocesky kraj",Blatna,
CZ,CZ-JK,"Jihocesky kraj",Borek,
CZ,CZ-JK,"Jihocesky kraj","Borova Lada",
CZ,CZ-JK,"Jihocesky kraj",Borovany,
CZ,CZ-JK,"Jihocesky kraj",Brloh,
CZ,CZ-JK,"Jihocesky kraj","Ceske Budejovice",
CZ,CZ-JK,"Jihocesky kraj","Ceske Velenice",
CZ,CZ-JK,"Jihocesky kraj","Cesky Krumlov",
CZ,CZ-JK,"Jihocesky kraj","Cesky Rudolec",
CZ,CZ-JK,"Jihocesky kraj","Chlum u Trebone",
CZ,CZ-JK,"Jihocesky kraj",Chotoviny,
CZ,CZ-JK,"Jihocesky kraj",Chvalsiny,
CZ,CZ-JK,"Jihocesky kraj",Chynov,
CZ,CZ-JK,"Jihocesky kraj",Chysky,
CZ,CZ-JK,"Jihocesky kraj",Cimelice,
CZ,CZ-JK,"Jihocesky kraj",Ckyne,
CZ,CZ-JK,"Jihocesky kraj",Dacice,
CZ,CZ-JK,"Jihocesky kraj","Dolni Bukovsko",
CZ,CZ-JK,"Jihocesky kraj","Dolni Dvoriste",
CZ,CZ-JK,"Jihocesky kraj",Driten,
CZ,CZ-JK,"Jihocesky kraj",Dubne,
CZ,CZ-JK,"Jihocesky kraj",Frymburk,
CZ,CZ-JK,"Jihocesky kraj","Hluboka nad Vltavou",
CZ,CZ-JK,"Jihocesky kraj","Horni Plana",
CZ,CZ-JK,"Jihocesky kraj","Horni Stropnice",
CZ,CZ-JK,"Jihocesky kraj",Hrdejovice,
CZ,CZ-JK,"Jihocesky kraj",Husinec,
CZ,CZ-JK,"Jihocesky kraj","Jarosov nad Nezarkou",
CZ,CZ-JK,"Jihocesky kraj","Jindrichuv Hradec",
CZ,CZ-JK,"Jihocesky kraj",Jistebnice,
CZ,CZ-JK,"Jihocesky kraj",Kajov,
CZ,CZ-JK,"Jihocesky kraj","Kamenny Ujezd",
CZ,CZ-JK,"Jihocesky kraj",Kaplice,
CZ,CZ-JK,"Jihocesky kraj","Kardasova Recice",
CZ,CZ-JK,"Jihocesky kraj",Katovice,
CZ,CZ-JK,"Jihocesky kraj",Kovarov,
CZ,CZ-JK,"Jihocesky kraj",Kremze,
CZ,CZ-JK,"Jihocesky kraj",Kunzak,
CZ,CZ-JK,"Jihocesky kraj",Ledenice,
CZ,CZ-JK,"Jihocesky kraj",Lhenice,
CZ,CZ-JK,"Jihocesky kraj",Lisov,
CZ,CZ-JK,"Jihocesky kraj",Litvinovice,
CZ,CZ-JK,"Jihocesky kraj","Lomnice nad Luznici",
CZ,CZ-JK,"Jihocesky kraj",Loucovice,
CZ,CZ-JK,"Jihocesky kraj",Malonty,
CZ,CZ-JK,"Jihocesky kraj",Malsice,
CZ,CZ-JK,"Jihocesky kraj",Milevsko,
CZ,CZ-JK,"Jihocesky kraj",Mirotice,
CZ,CZ-JK,"Jihocesky kraj",Mirovice,
CZ,CZ-JK,"Jihocesky kraj","Mlada Vozice",
CZ,CZ-JK,"Jihocesky kraj",Netolice,
CZ,CZ-JK,"Jihocesky kraj","Nova Bystrice",
CZ,CZ-JK,"Jihocesky kraj","Nova Vcelnice",
CZ,CZ-JK,"Jihocesky kraj","Nove Hrady",
CZ,CZ-JK,"Jihocesky kraj","Okres Ceske Budejovice",
CZ,CZ-JK,"Jihocesky kraj","Okres Cesky Krumlov",
CZ,CZ-JK,"Jihocesky kraj","Okres Jindrichuv Hradec",
CZ,CZ-JK,"Jihocesky kraj","Okres Pisek",
CZ,CZ-JK,"Jihocesky kraj","Okres Prachatice",
CZ,CZ-JK,"Jihocesky kraj","Okres Strakonice",
CZ,CZ-JK,"Jihocesky kraj","Okres Tabor",
CZ,CZ-JK,"Jihocesky kraj",Oparany,
CZ,CZ-JK,"Jihocesky kraj",Pisek,
CZ,CZ-JK,"Jihocesky kraj","Plana nad Luznici",
CZ,CZ-JK,"Jihocesky kraj",Prachatice,
CZ,CZ-JK,"Jihocesky kraj",Protivin,
CZ,CZ-JK,"Jihocesky kraj",Radomysl,
CZ,CZ-JK,"Jihocesky kraj",Rudolfov,
CZ,CZ-JK,"Jihocesky kraj",Sedlice,
CZ,CZ-JK,"Jihocesky kraj",Sepekov,
CZ,CZ-JK,"Jihocesky kraj",Sevetin,
CZ,CZ-JK,"Jihocesky kraj","Sezimovo Usti",
CZ,CZ-JK,"Jihocesky kraj",Slavonice,
CZ,CZ-JK,"Jihocesky kraj",Sobeslav,
CZ,CZ-JK,"Jihocesky kraj",Srubec,
CZ,CZ-JK,"Jihocesky kraj",Stachy,
CZ,CZ-JK,"Jihocesky kraj",Strakonice,
CZ,CZ-JK,"Jihocesky kraj",Strmilov,
