country_id,region_code,region_name,name,postcode
IR,IR-AL,Alborz,Fardis,
IR,IR-AL,Alborz,Karaj,
IR,IR-AL,Alborz,Nazarabad,
IR,IR-AL,Alborz,"Shahrestan-e Eshtehard",
IR,IR-AL,Alborz,"Shahrestan-e Nazarabad",
IR,IR-AL,Alborz,"Shahrestan-e Savojbolagh",
IR,IR-AL,Alborz,"Shahrestan-e Taleqan",
IR,IR-AR,Ardabil,Ardabil,
IR,IR-AR,Ardabil,"Bileh Savar",
IR,IR-AR,Ardabil,Khalkhal,
IR,IR-AR,Ardabil,Omidcheh,
IR,IR-AR,Ardabil,Parsabad,
IR,IR-AR,Ardabil,"Shahrestan-e Ardabil",
IR,IR-AR,Ardabil,"Shahrestan-e Bileh Savar",
IR,IR-AR,Ardabil,"Shahrestan-e Germi",
IR,IR-AR,Ardabil,"Shahrestan-e Khalkhal",
IR,IR-AR,Ardabil,"Shahrestan-e Kowsar",
IR,IR-AR,Ardabil,"Shahrestan-e Meshgin Shahr",
IR,IR-AR,Ardabil,"Shahrestan-e Namin",
IR,IR-AR,Ardabil,"Shahrestan-e Nir",
IR,IR-AR,Ardabil,"Shahrestan-e Parsabad",
IR,IR-AR,Ardabil,"Shahrestan-e Sar'eyn",
IR,IR-BU,Bushehr,Ahram,
IR,IR-BU,Bushehr,"Bandar-e Genaveh",
IR,IR-BU,Bushehr,Borazjan,
IR,IR-BU,Bushehr,Bushehr,
IR,IR-BU,Bushehr,Deylam,
IR,IR-BU,Bushehr,Khark,
IR,IR-BU,Bushehr,"Shahrestan-e 'Asaluyeh",
IR,IR-BU,Bushehr,"Shahrestan-e Bushehr",
IR,IR-BU,Bushehr,"Shahrestan-e Dashtestan",
IR,IR-BU,Bushehr,"Shahrestan-e Dashti",
IR,IR-BU,Bushehr,"Shahrestan-e Genaveh",
IR,IR-BU,Bushehr,"Shahrestan-e Kangan",
IR,IR-BU,Bushehr,"Shahrestan-e Tangestan",
IR,IR-CAB,"Chaharmahal and Bakhtiari",Ben,
IR,IR-CAB,"Chaharmahal and Bakhtiari",Borujen,
IR,IR-CAB,"Chaharmahal and Bakhtiari",Chelgard,
IR,IR-CAB,"Chaharmahal and Bakhtiari","Farrokh Shahr",
IR,IR-CAB,"Chaharmahal and Bakhtiari",Farsan,
IR,IR-CAB,"Chaharmahal and Bakhtiari",Saman,
IR,IR-CAB,"Chaharmahal and Bakhtiari","Shahr-e Kord",
IR,IR-CAB,"Chaharmahal and Bakhtiari",Shahrekord,
IR,IR-CAB,"Chaharmahal and Bakhtiari","Shahrestan-e Borujen",
IR,IR-CAB,"Chaharmahal and Bakhtiari","Shahrestan-e Farsan",
IR,IR-CAB,"Chaharmahal and Bakhtiari","Shahrestan-e Kiar",
IR,IR-CAB,"Chaharmahal and Bakhtiari","Shahrestan-e Kuhrang",
IR,IR-CAB,"Chaharmahal and Bakhtiari","Shahrestan-e Lordegan",
IR,IR-EA,"East Azerbaijan","'Ajab Shir",
IR,IR-EA,"East Azerbaijan",Ahar,
IR,IR-EA,"East Azerbaijan",Bonab,
IR,IR-EA,"East Azerbaijan",Hashtrud,
IR,IR-EA,"East Azerbaijan",Marand,
IR,IR-EA,"East Azerbaijan",Sarab,
IR,IR-EA,"East Azerbaijan","Shahrestan-e 'Ajab Shir",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Azarshahr",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Bonab",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Bostanabad",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Charavimaq",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Hashtrud",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Heris",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Jolfa",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Khoda Afarin",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Malekan",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Maragheh",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Mianeh",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Osku",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Sarab",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Tabriz",
IR,IR-EA,"East Azerbaijan","Shahrestan-e Varzaqan",
IR,IR-EA,"East Azerbaijan",Tabriz,
IR,IR-FA,Fars,Abadeh,
IR,IR-FA,Fars,Akbarabad,
IR,IR-FA,Fars,Darab,
IR,IR-FA,Fars,Fasa,
IR,IR-FA,Fars,Firuzabad,
IR,IR-FA,Fars,Gerash,
IR,IR-FA,Fars,Kazerun,
IR,IR-FA,Fars,Mamasani,
IR,IR-FA,Fars,Marvdasht,
IR,IR-FA,Fars,Mohr,
IR,IR-FA,Fars,Neyriz,
IR,IR-FA,Fars,Nurabad,
IR,IR-FA,Fars,Pasargad,
IR,IR-FA,Fars,Rostam,
IR,IR-FA,Fars,"Shahr-e Qadim-e Lar",
IR,IR-FA,Fars,"Shahrestan-e Abadeh",
IR,IR-FA,Fars,"Shahrestan-e Arsanjan",
IR,IR-FA,Fars,"Shahrestan-e Bavanat",
IR,IR-FA,Fars,"Shahrestan-e Darab",
IR,IR-FA,Fars,"Shahrestan-e Eqlid",
IR,IR-FA,Fars,"Shahrestan-e Estahban",
IR,IR-FA,Fars,"Shahrestan-e Farashband",
IR,IR-FA,Fars,"Shahrestan-e Fasa",
IR,IR-FA,Fars,"Shahrestan-e Firuzabad",
IR,IR-FA,Fars,"Shahrestan-e Gerash",
IR,IR-FA,Fars,"Shahrestan-e Kavar",
IR,IR-FA,Fars,"Shahrestan-e Kazerun",
IR,IR-FA,Fars,"Shahrestan-e Kherameh",
IR,IR-FA,Fars,"Shahrestan-e Khorrambid",
IR,IR-FA,Fars,"Shahrestan-e Lamerd",
IR,IR-FA,Fars,"Shahrestan-e Larestan",
IR,IR-FA,Fars,"Shahrestan-e Neyriz",
IR,IR-FA,Fars,"Shahrestan-e Pasargad",
IR,IR-FA,Fars,"Shahrestan-e Qir va Karzin",
IR,IR-FA,Fars,"Shahrestan-e Sarvestan",
IR,IR-FA,Fars,"Shahrestan-e Sepidan",
IR,IR-FA,Fars,"Shahrestan-e Shiraz",
IR,IR-FA,Fars,"Shahrestan-e Zarrin Dasht",
IR,IR-FA,Fars,Shiraz,
IR,IR-GI,Gilan,"Astaneh-ye Ashrafiyeh",
IR,IR-GI,Gilan,Astara,
IR,IR-GI,Gilan,"Bandar-e Anzali",
IR,IR-GI,Gilan,Fuman,
IR,IR-GI,Gilan,Hashtpar,
IR,IR-GI,Gilan,Langarud,
