country_id,region_code,region_name,name,postcode
PH,PH-AB,Abra,Adams,
PH,PH-AB,Abra,Agno,
PH,PH-AB,Abra,Agoo,
PH,PH-AB,Abra,Aguilar,
PH,PH-AB,Abra,Alac,
PH,PH-AB,Abra,Alaminos,
PH,PH-AB,Abra,Alcala,
PH,PH-AB,Abra,Alilem,
PH,PH-AB,Abra,"Allangigan Primero",
PH,PH-AB,Abra,Aloleng,
PH,PH-AB,Abra,Amagbagan,
PH,PH-AB,Abra,Anambongan,
PH,PH-AB,Abra,Anda,
PH,PH-AB,Abra,Angatel,
PH,PH-AB,Abra,Anulid,
PH,PH-AB,Abra,Aringay,
PH,PH-AB,Abra,Asingan,
PH,PH-AB,Abra,Baay,
PH,PH-AB,Abra,Bacag,
PH,PH-AB,Abra,Bacarra,
PH,PH-AB,Abra,Bacnar,
PH,PH-AB,Abra,Bacnotan,
PH,PH-AB,Abra,"Bactad Proper",
PH,PH-AB,Abra,"Bacundao Weste",
PH,PH-AB,Abra,Badoc,
PH,PH-AB,Abra,Bagulin,
PH,PH-AB,Abra,Bail,
PH,PH-AB,Abra,Balaoan,
PH,PH-AB,Abra,Balingasay,
PH,PH-AB,Abra,Balingueo,
PH,PH-AB,Abra,Balogo,
PH,PH-AB,Abra,Balungao,
PH,PH-AB,Abra,Baluyot,
PH,PH-AB,Abra,Banayoyo,
PH,PH-AB,Abra,Bangan-Oda,
PH,PH-AB,Abra,Bangar,
PH,PH-AB,Abra,Bangui,
PH,PH-AB,Abra,Bani,
PH,PH-AB,Abra,Banna,
PH,PH-AB,Abra,"Banog Sur",
PH,PH-AB,Abra,Bantay,
PH,PH-AB,Abra,Bantog,
PH,PH-AB,Abra,Barangobong,
PH,PH-AB,Abra,Baro,
PH,PH-AB,Abra,Barong,
PH,PH-AB,Abra,Basing,
PH,PH-AB,Abra,Basista,
PH,PH-AB,Abra,Batac,
PH,PH-AB,Abra,Bataquil,
PH,PH-AB,Abra,Bauang,
PH,PH-AB,Abra,Bautista,
PH,PH-AB,Abra,Bayambang,
PH,PH-AB,Abra,Bayaoas,
PH,PH-AB,Abra,"Bical Norte",
PH,PH-AB,Abra,Bil-Loca,
PH,PH-AB,Abra,Binabalian,
PH,PH-AB,Abra,Binalonan,
PH,PH-AB,Abra,Binday,
PH,PH-AB,Abra,Binmaley,
