country_id,region_code,region_name,name,postcode
RU,RU-AK,"Altai Krai",Aleysk,
RU,RU-AK,"Altai Krai","Aleyskiy Rayon",
RU,RU-AK,"Altai Krai",Altayskoye,
RU,RU-AK,"Altai Krai",Anton'yevka,
RU,RU-AK,"Altai Krai",Aya,
RU,RU-AK,"Altai Krai",Barnaul,
RU,RU-AK,"Altai Krai","Barnaul Urban Okrug",
RU,RU-AK,"Altai Krai",Bastan,
RU,RU-AK,"Altai Krai",Bayevo,
RU,RU-AK,"Altai Krai","Bayunovskiye Klyuchi",
RU,RU-AK,"Altai Krai",Belokurikha,
RU,RU-AK,"Altai Krai",Beloyarsk,
RU,RU-AK,"Altai Krai",Berezovka,
RU,RU-AK,"Altai Krai",Biysk,
RU,RU-AK,"Altai Krai",Blagoveshchenka,
RU,RU-AK,"Altai Krai",Bobrovka,
RU,RU-AK,"Altai Krai",Borovikha,
RU,RU-AK,"Altai Krai",Burla,
RU,RU-AK,"Altai Krai",Bystryanka,
RU,RU-AK,"Altai Krai","Bystryy Istok",
RU,RU-AK,"Altai Krai",Charyshskoye,
RU,RU-AK,"Altai Krai",Cheremnoye,
RU,RU-AK,"Altai Krai",Gal'bshtadt,
RU,RU-AK,"Altai Krai",Gon'ba,
RU,RU-AK,"Altai Krai",Gornyak,
RU,RU-AK,"Altai Krai",Grishkovka,
RU,RU-AK,"Altai Krai",Inya,
RU,RU-AK,"Altai Krai",Kalmanka,
RU,RU-AK,"Altai Krai","Kalmanskiy Rayon",
RU,RU-AK,"Altai Krai",Kamen'-na-Obi,
RU,RU-AK,"Altai Krai","Khabarskiy Rayon",
RU,RU-AK,"Altai Krai",Khabary,
RU,RU-AK,"Altai Krai",Klyuchi,
RU,RU-AK,"Altai Krai",Kosikha,
RU,RU-AK,"Altai Krai","Kosikhinskiy Rayon",
RU,RU-AK,"Altai Krai",Krasnogorskoye,
RU,RU-AK,"Altai Krai",Krasnoshchekovo,
RU,RU-AK,"Altai Krai","Krasnyy Yar",
RU,RU-AK,"Altai Krai",Krutikha,
RU,RU-AK,"Altai Krai",Kulunda,
RU,RU-AK,"Altai Krai","Kulundinskiy Rayon",
RU,RU-AK,"Altai Krai","Kur'inskiy Rayon",
RU,RU-AK,"Altai Krai",Kusak,
RU,RU-AK,"Altai Krai",Kytmanovo,
RU,RU-AK,"Altai Krai",Lebyazh'ye,
RU,RU-AK,"Altai Krai",Lesnoye,
RU,RU-AK,"Altai Krai",Logovskoye,
RU,RU-AK,"Altai Krai","Loktevskiy Rayon",
RU,RU-AK,"Altai Krai","Malinovoye Ozero",
RU,RU-AK,"Altai Krai",Malougrenevo,
RU,RU-AK,"Altai Krai",Mamontovo,
RU,RU-AK,"Altai Krai","Mamontovskiy Rayon",
RU,RU-AK,"Altai Krai",Martynovo,
RU,RU-AK,"Altai Krai","Mikhaylovskiy Rayon",
RU,RU-AK,"Altai Krai",Mikhaylovskoye,
RU,RU-AK,"Altai Krai",Nagornyy,
RU,RU-AK,"Altai Krai",Nalobikha,
RU,RU-AK,"Altai Krai","Natsional'nyy Rayon Nemetskiy",
RU,RU-AK,"Altai Krai","Nauchnyy Gorodok",
RU,RU-AK,"Altai Krai",Nikolayevka,
RU,RU-AK,"Altai Krai",Novichikha,
RU,RU-AK,"Altai Krai","Novichikhinskiy Rayon",
RU,RU-AK,"Altai Krai",Novikovo,
RU,RU-AK,"Altai Krai",Novoaltaysk,
RU,RU-AK,"Altai Krai",Novosilikatnyy,
RU,RU-AK,"Altai Krai",Novotyryshkino,
RU,RU-AK,"Altai Krai","Novyye Zori",
RU,RU-AK,"Altai Krai",Pankrushikha,
RU,RU-AK,"Altai Krai","Pankrushikhinskiy Rayon",
RU,RU-AK,"Altai Krai",Pavlovsk,
RU,RU-AK,"Altai Krai","Pavlovskiy Rayon",
RU,RU-AK,"Altai Krai",Pervomayskiy,
RU,RU-AK,"Altai Krai","Pervomayskiy Rayon",
RU,RU-AK,"Altai Krai",Pervomayskoye,
RU,RU-AK,"Altai Krai","Petropavlovskiy Rayon",
RU,RU-AK,"Altai Krai",Petropavlovskoye,
RU,RU-AK,"Altai Krai",Podsosnovo,
RU,RU-AK,"Altai Krai",Pospelikha,
RU,RU-AK,"Altai Krai","Pospelikhinskiy Rayon",
RU,RU-AK,"Altai Krai",Rebrikha,
RU,RU-AK,"Altai Krai","Rebrikhinskiy Rayon",
RU,RU-AK,"Altai Krai",Rodino,
RU,RU-AK,"Altai Krai","Rodinskiy Rayon",
RU,RU-AK,"Altai Krai",Romanovo,
RU,RU-AK,"Altai Krai","Romanovskiy Rayon",
RU,RU-AK,"Altai Krai",Rubtsovsk,
RU,RU-AK,"Altai Krai","Rubtsovskiy Rayon",
RU,RU-AK,"Altai Krai",Sannikovo,
RU,RU-AK,"Altai Krai",Severka,
RU,RU-AK,"Altai Krai",Shakhi,
RU,RU-AK,"Altai Krai",Shelabolikha,
RU,RU-AK,"Altai Krai","Shelabolikhinskiy Rayon",
RU,RU-AK,"Altai Krai",Shipunovo,
RU,RU-AK,"Altai Krai","Shipunovskiy Rayon",
RU,RU-AK,"Altai Krai",Shubenka,
RU,RU-AK,"Altai Krai","Shul'gin Log",
RU,RU-AK,"Altai Krai",Sibirskiy,
RU,RU-AK,"Altai Krai",Slavgorod,
RU,RU-AK,"Altai Krai",Slavgorodskoye,
RU,RU-AK,"Altai Krai","Smolenskiy Rayon",
RU,RU-AK,"Altai Krai",Smolenskoye,
RU,RU-AK,"Altai Krai",Sokolovo,
RU,RU-AK,"Altai Krai","Soloneshenskiy Rayon",
RU,RU-AK,"Altai Krai",Soloneshnoye,
RU,RU-AK,"Altai Krai",Solton,
RU,RU-AK,"Altai Krai","Soltonskiy Rayon",
RU,RU-AK,"Altai Krai",Sorokino,
RU,RU-AK,"Altai Krai",Sovetskoye,
RU,RU-AK,"Altai Krai",Srostki,
RU,RU-AK,"Altai Krai",Stan-Bekhtemir,
RU,RU-AK,"Altai Krai",Staroaleyskoye,
RU,RU-AK,"Altai Krai",Starobelokurikha,
RU,RU-AK,"Altai Krai","Staryy Togul",
RU,RU-AK,"Altai Krai",Stukovo,
RU,RU-AK,"Altai Krai",Sychevka,
RU,RU-AK,"Altai Krai",Tabuny,
RU,RU-AK,"Altai Krai",Tal'menka,
RU,RU-AK,"Altai Krai","Tal'menskiy Rayon",
RU,RU-AK,"Altai Krai",Togul,
RU,RU-AK,"Altai Krai","Togul'skiy Rayon",
RU,RU-AK,"Altai Krai",Topchikha,
RU,RU-AK,"Altai Krai",Topol'noye,
RU,RU-AK,"Altai Krai",Troitskoye,
RU,RU-AK,"Altai Krai",Tselinnoye,
RU,RU-AK,"Altai Krai",Tyumentsevo,
RU,RU-AK,"Altai Krai","Tyumentsevskiy Rayon",
RU,RU-AK,"Altai Krai",Uglovskoye,
RU,RU-AK,"Altai Krai","Ust'-Charyshskaya Pristan'",
RU,RU-AK,"Altai Krai",Ust'-Isha,
RU,RU-AK,"Altai Krai",Ust'-Kalmanka,
RU,RU-AK,"Altai Krai",Ust'yanka,
RU,RU-AK,"Altai Krai",Usyatskoye,
RU,RU-AK,"Altai Krai",Verkh-Katunskoye,
RU,RU-AK,"Altai Krai",Verkh-Suetka,
RU,RU-AK,"Altai Krai","Verkhniy Bekhtemir",
RU,RU-AK,"Altai Krai",Veseloyarsk,
RU,RU-AK,"Altai Krai",Vlasikha,
RU,RU-AK,"Altai Krai",Volchikha,
RU,RU-AK,"Altai Krai","Volchikhinskiy Rayon",
RU,RU-AK,"Altai Krai",Yarovoye,
RU,RU-AK,"Altai Krai","Yegor'yevskiy Rayon",
RU,RU-AK,"Altai Krai","Yel'tsovskiy Rayon",
RU,RU-AK,"Altai Krai",Yuzhnyy,
RU,RU-AK,"Altai Krai",Zalesovo,
RU,RU-AK,"Altai Krai",Zarinsk,
RU,RU-AK,"Altai Krai","Zarinskiy Rayon",
RU,RU-AK,"Altai Krai",Zarya,
RU,RU-AK,"Altai Krai",Zaton,
RU,RU-AK,"Altai Krai",Zav'yalovo,
RU,RU-AK,"Altai Krai","Zav'yalovskiy Rayon",
RU,RU-AK,"Altai Krai",Zmeinogorsk,
RU,RU-AK,"Altai Krai",Zonal'noye,
RU,RU-AK,"Altai Krai",Zudilovo,
RU,RU-AR,"Altai Republic",Aktash,
RU,RU-AR,"Altai Republic",Artybash,
RU,RU-AR,"Altai Republic",Belyashi,
RU,RU-AR,"Altai Republic",Chemal,
RU,RU-AR,"Altai Republic",Cherga,
RU,RU-AR,"Altai Republic",Choya,
RU,RU-AR,"Altai Republic",Elekmonar,
RU,RU-AR,"Altai Republic",Gorno-Altaysk,
RU,RU-AR,"Altai Republic",Inya,
RU,RU-AR,"Altai Republic",Iogach,
RU,RU-AR,"Altai Republic",Kosh-Agach,
RU,RU-AR,"Altai Republic",Manzherok,
RU,RU-AR,"Altai Republic",Mayma,
RU,RU-AR,"Altai Republic","Mayminskiy Rayon",
RU,RU-AR,"Altai Republic",Onguday,
RU,RU-AR,"Altai Republic","Ongudayskiy Rayon",
RU,RU-AR,"Altai Republic",Shebalino,
RU,RU-AR,"Altai Republic","Shebalinskiy Rayon",
RU,RU-AR,"Altai Republic",Souzga,
RU,RU-AR,"Altai Republic",Tashanta,
RU,RU-AR,"Altai Republic",Turochak,
RU,RU-AR,"Altai Republic",Ust'-Kan,
RU,RU-AR,"Altai Republic",Ust'-Koksa,
RU,RU-AR,"Altai Republic","Ust'-Koksinskiy Rayon",
RU,RU-AR,"Altai Republic",Ust'-Ulagan,
RU,RU-AO,"Amur Oblast",Arkhara,
RU,RU-AO,"Amur Oblast","Arkharinskiy Rayon",
RU,RU-AO,"Amur Oblast",Belogorsk,
RU,RU-AO,"Amur Oblast","Belogorskiy Rayon",
RU,RU-AO,"Amur Oblast",Blagoveshchensk,
RU,RU-AO,"Amur Oblast","Blagoveshchenskiy Rayon",
RU,RU-AO,"Amur Oblast",Bureya,
RU,RU-AO,"Amur Oblast","Bureyskiy Rayon",
RU,RU-AO,"Amur Oblast",Ekimchan,
RU,RU-AO,"Amur Oblast","Gorod Blagoveshchensk",
RU,RU-AO,"Amur Oblast","Gorod Raychikhinsk",
RU,RU-AO,"Amur Oblast","Ivanovskiy Rayon",
RU,RU-AO,"Amur Oblast",Konstantinovka,
RU,RU-AO,"Amur Oblast","Konstantinovskiy Rayon",
RU,RU-AO,"Amur Oblast",Magdagachi,
RU,RU-AO,"Amur Oblast","Magdagachinskiy Rayon",
RU,RU-AO,"Amur Oblast","Mazanovskiy Rayon",
RU,RU-AO,"Amur Oblast","Mikhaylovskiy Rayon",
RU,RU-AO,"Amur Oblast",Never,
RU,RU-AO,"Amur Oblast",Novobureyskiy,
RU,RU-AO,"Amur Oblast",Novoraychikhinsk,
RU,RU-AO,"Amur Oblast","Oktyabr'skiy Rayon",
RU,RU-AO,"Amur Oblast",Ovsyanka,
RU,RU-AO,"Amur Oblast",Poyarkovo,
RU,RU-AO,"Amur Oblast",Raychikhinsk,
RU,RU-AO,"Amur Oblast","Romnenskiy Rayon",
RU,RU-AO,"Amur Oblast",Romny,
RU,RU-AO,"Amur Oblast","Selemdzhinskiy Rayon",
RU,RU-AO,"Amur Oblast",Seryshevo,
RU,RU-AO,"Amur Oblast","Seryshevskiy Rayon",
RU,RU-AO,"Amur Oblast",Shimanovsk,
RU,RU-AO,"Amur Oblast","Shimanovskiy Rayon",
RU,RU-AO,"Amur Oblast",Shirokiy,
RU,RU-AO,"Amur Oblast",Sivaki,
RU,RU-AO,"Amur Oblast",Skovorodino,
RU,RU-AO,"Amur Oblast","Skovorodinskiy Rayon",
RU,RU-AO,"Amur Oblast",Solovjevsk,
RU,RU-AO,"Amur Oblast",Srednebelaya,
RU,RU-AO,"Amur Oblast","Svobodnenskiy Rayon",
RU,RU-AO,"Amur Oblast",Svobodnyy,
RU,RU-AO,"Amur Oblast",Takhtamygda,
RU,RU-AO,"Amur Oblast",Talakan,
RU,RU-AO,"Amur Oblast",Taldan,
RU,RU-AO,"Amur Oblast",Tambovka,
RU,RU-AO,"Amur Oblast","Tambovskiy Rayon",
RU,RU-AO,"Amur Oblast",Tokur,
RU,RU-AO,"Amur Oblast",Tsiolkovskiy,
RU,RU-AO,"Amur Oblast",Tygda,
RU,RU-AO,"Amur Oblast",Tynda,
RU,RU-AO,"Amur Oblast","Tyndinskiy Rayon",
RU,RU-AO,"Amur Oblast",Urusha,
RU,RU-AO,"Amur Oblast",Ushumun,
RU,RU-AO,"Amur Oblast",Yekaterinoslavka,
RU,RU-AO,"Amur Oblast","Yerofey Pavlovich",
RU,RU-AO,"Amur Oblast",Zavitinsk,
RU,RU-AO,"Amur Oblast","Zavitinskiy Rayon",
RU,RU-AO,"Amur Oblast",Zeya,
RU,RU-AO,"Amur Oblast","Zeyskiy Rayon",
RU,RU-AR,Arkhangelsk,Arkhangel'sk,
RU,RU-AR,Arkhangelsk,Bereznik,
RU,RU-AR,Arkhangelsk,Cheremushskiy,
RU,RU-AR,Arkhangelsk,Dvinskoy,
RU,RU-AR,Arkhangelsk,Il'insko-Podomskoye,
RU,RU-AR,Arkhangelsk,Ileza,
RU,RU-AR,Arkhangelsk,Isakogorka,
RU,RU-AR,Arkhangelsk,Kamenka,
RU,RU-AR,Arkhangelsk,Kargopol',
RU,RU-AR,Arkhangelsk,"Kargopol'skiy Rayon",
RU,RU-AR,Arkhangelsk,Karpogory,
RU,RU-AR,Arkhangelsk,Katunino,
RU,RU-AR,Arkhangelsk,Kharitonovo,
