country_id,region_code,region_name,name,postcode
TH,TH-AC,"Amnat Charoen","Amnat Charoen",
TH,TH-AC,"Amnat Charoen","Amphoe Chanuman",
TH,TH-AC,"Amnat Charoen","Amphoe Hua Taphan",
TH,TH-AC,"Amnat Charoen","Amphoe Lue Amnat",
TH,TH-AC,"Amnat Charoen","Amphoe Mueang Amnat Charoen",
TH,TH-AC,"Amnat Charoen","Amphoe Pathum Ratchawongsa",
TH,TH-AC,"Amnat Charoen","Amphoe Phana",
TH,TH-AC,"Amnat Charoen","Amphoe Senangkhanikhom",
TH,TH-AT,"Ang Thong","Amphoe Chaiyo",
TH,TH-AT,"Ang Thong","Amphoe Mueang Ang Thong",
TH,TH-AT,"Ang Thong","Amphoe Pa Mok",
TH,TH-AT,"Ang Thong","Amphoe Pho Thong",
TH,TH-AT,"Ang Thong","Amphoe Sawaeng Ha",
TH,TH-AT,"Ang Thong","Amphoe Wiset Chai Chan",
TH,TH-AT,"Ang Thong","Ang Thong",
TH,TH-AT,"Ang Thong","Ban Thai Tan",
TH,TH-AT,"Ang Thong",Chaiyo,
TH,TH-AT,"Ang Thong","Pho Thong",
TH,TH-AT,"Ang Thong","Wiset Chaichan",
TH,TH-BA,Bangkok,"Bang Bon",
TH,TH-BA,Bangkok,"Bang Kapi",
TH,TH-BA,Bangkok,"Bang Khae",
TH,TH-BA,Bangkok,"Bang Khen",
TH,TH-BA,Bangkok,"Bang Kho laen",
TH,TH-BA,Bangkok,"Bang Khun thain",
TH,TH-BA,Bangkok,"Bang Na",
TH,TH-BA,Bangkok,"Bang Phlat",
TH,TH-BA,Bangkok,"Bang Rak",
TH,TH-BA,Bangkok,"Bang Sue",
TH,TH-BA,Bangkok,Bangkok,
TH,TH-BA,Bangkok,"Bangkok Noi",
TH,TH-BA,Bangkok,"Bangkok Yai",
TH,TH-BA,Bangkok,"Bueng Kum",
TH,TH-BA,Bangkok,"Chatu Chak",
TH,TH-BA,Bangkok,"Chom Thong",
TH,TH-BA,Bangkok,"Din Daeng",
TH,TH-BA,Bangkok,"Don Mueang",
TH,TH-BA,Bangkok,Dusit,
TH,TH-BA,Bangkok,"Huai Khwang",
TH,TH-BA,Bangkok,"Khan Na Yao",
TH,TH-BA,Bangkok,"Khlong Sam Wa",
TH,TH-BA,Bangkok,"Khlong San",
TH,TH-BA,Bangkok,"Khlong Toei",
TH,TH-BA,Bangkok,"Lak Si",
TH,TH-BA,Bangkok,"Lat Krabang",
TH,TH-BA,Bangkok,"Lat Phrao",
TH,TH-BA,Bangkok,"Min Buri",
TH,TH-BA,Bangkok,"Nong Chok",
TH,TH-BA,Bangkok,"Nong Khaem",
TH,TH-BA,Bangkok,"Parthum Wan",
TH,TH-BA,Bangkok,"Phasi Charoen",
TH,TH-BA,Bangkok,"Phaya Thai",
TH,TH-BA,Bangkok,"Phra Khanong",
TH,TH-BA,Bangkok,"Phra Nakhon",
TH,TH-BA,Bangkok,"Pom Prap Sattru Phai",
TH,TH-BA,Bangkok,"Pra Wet",
TH,TH-BA,Bangkok,"Rat Burana",
TH,TH-BA,Bangkok,Ratchathewi,
TH,TH-BA,Bangkok,"Sai Mai",
TH,TH-BA,Bangkok,Samphanthawong,
TH,TH-BA,Bangkok,"Saphan Sung",
TH,TH-BA,Bangkok,Sathon,
TH,TH-BA,Bangkok,Suanluang,
TH,TH-BA,Bangkok,"Taling Chan",
TH,TH-BA,Bangkok,"Thawi Watthana",
TH,TH-BA,Bangkok,"Thon buri",
TH,TH-BA,Bangkok,"Thung khru",
TH,TH-BA,Bangkok,Vadhana,
TH,TH-BA,Bangkok,"Wang Thong Lang",
