country_id,region_code,region_name,name,postcode
VN,VN-AG,"An Giang","Cho Dok",
VN,VN-AG,"An Giang","Huyen An Phu",
VN,VN-AG,"An Giang","Huyen Chau Phu",
VN,VN-AG,"An Giang","Huyen Cho Moi",
VN,VN-AG,"An Giang","Huyen Phu Tan",
VN,VN-AG,"An Giang","Huyen Tri Ton",
VN,VN-AG,"An Giang","Long Xuyen",
VN,VN-AG,"An Giang","Long Xuyen City",
VN,VN-BRT,"Ba Ria-Vung Tau","Con Son",
VN,VN-BRT,"Ba Ria-Vung Tau","Huyen Chau Duc",
VN,VN-BRT,"Ba Ria-Vung Tau","Huyen Dat Do",
VN,VN-BRT,"Ba Ria-Vung Tau","Huyen Tan Thanh",
VN,VN-BRT,"Ba Ria-Vung Tau","Huyen Xuyen Moc",
VN,VN-BRT,"Ba Ria-Vung Tau","Thanh Pho Vung Tau",
VN,VN-BRT,"Ba Ria-Vung Tau","Thi Xa Phu My",
VN,VN-BRT,"Ba Ria-Vung Tau","Vung Tau",
VN,VN-BG,"Bac Giang","Bac Giang",
VN,VN-BG,"Bac Giang","Huyen Luc Nam",
VN,VN-BG,"Bac Giang","Huyen Luc Ngan",
VN,VN-BG,"Bac Giang","Huyen Yen The",
VN,VN-BK,"Bac Kan","Bac Kan",
VN,VN-BK,"Bac Kan","Huyen Ba Be",
VN,VN-BK,"Bac Kan","Huyen Bach Thong",
VN,VN-BK,"Bac Kan","Huyen Cho Don",
VN,VN-BK,"Bac Kan","Huyen Na Ri",
VN,VN-BK,"Bac Kan","Huyen Ngan Son",
VN,VN-BK,"Bac Kan","Thi Xa Bac Kan",
VN,VN-BL,"Bac Lieu","Bac Lieu",
VN,VN-BL,"Bac Lieu","Huyen Gia Rai",
VN,VN-BL,"Bac Lieu","Huyen Hong Dan",
VN,VN-BN,"Bac Ninh","Bac Ninh",
VN,VN-BN,"Bac Ninh","Cung Kiem",
VN,VN-BN,"Bac Ninh","Huyen Gia Binh",
VN,VN-BN,"Bac Ninh","Huyen Thuan Thanh",
VN,VN-BN,"Bac Ninh","Huyen Tien Du",
VN,VN-BN,"Bac Ninh","Huyen Yen Phong",
VN,VN-BT,"Ben Tre","Ap Tan Ngai",
VN,VN-BT,"Ben Tre","Ben Tre",
VN,VN-BT,"Ben Tre","Huyen Ba Tri",
VN,VN-BT,"Ben Tre","Huyen Binh Dai",
